Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
0xfd44b078cb49de26d2af5ba2ba54b25e7d667ef6d,1,
